ASV_ID,ER1,ER2,ER3,ExtCtrl,G1R1,G1R2,G1R3,G2R1,G2R2,G2R3,MockPosCtrl,PCRCtrl,RP1R1,RP1R2,RP1R3,RP2R1,RP2R2,RP2R3,SL1R1,SL1R2,SL1R3,SL2R1,SL2R2,SL2R3
8d8c44f3c4de9d7d2d4c94a60685d678,26,17,28,0,53,49,63,8,5,0,0,0,392078,396121,455628,63873,36228,32472,94,98,128,17,0,0
4ef33a674ee56fba00a4c2848b3fe30e,0,0,0,12,89,83,94,0,0,0,0,16,878,582,1636,186639,148285,189997,0,0,0,33,34,51
1186ff9075bce89840c8ba1db4204189,0,9,2183,14,24,46,13,14917,12295,24917,13587,5009,11207,33255,37337,1744,3367,1518,52,5357,20219,141,136244,119563
0d6b6cc63c0076245797ca960c12e26e,0,0,355,0,14,0,0,0,0,0,0,0,79934,119208,92591,3488,593,136,69,37928,8837,57,29152,43493
cfe67df02d2e5ce07631a825a551c162,0,0,0,9,0,0,0,0,0,0,4,0,812,944,557,153074,120396,108078,0,0,0,12,20,11
4f68eadd5e6374721864ada406f4c994,0,0,83,0,0,5,14,0,0,0,0,0,0,0,8,0,0,0,63,43445,146930,49,10992,12321
b24916603049b2787a7211321df591d1,0,0,0,10,0,0,0,0,0,0,0,0,14750,10094,21158,36198,52075,62153,2,0,0,7,0,9
803a2b46cdc97f78f2ef8a8a5ca286dd,0,0,0,0,0,0,0,0,0,0,0,0,273,193,429,78659,52201,38845,0,641,154,13,608,2887
01959e5789644613795330df18560a58,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,56,6729,43982,67,46038,55145
5b03228d3b67230ae9cba154af214d75,25039,25872,28576,0,0,0,0,0,0,0,9,11,0,0,0,1205,0,0,3,13,6,24499,0,0
057a233df46b8e16c567bdaeca5236ae,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,114,1174,54,45669,52629
d0c40303664042b7c8a0d4fbf2345d4e,0,0,49,0,0,0,0,0,8,5,0,0,122,0,24,28084,19596,21382,0,86,92,12,5381,9316
43648ae0144fb6b552c5456de992febf,0,0,0,0,0,0,0,0,0,0,0,0,8482,16675,7964,18173,14538,17861,0,0,0,0,0,0
eda9e7c469c2f6581689d79f42082ae8,17867,19324,25145,0,0,0,0,0,0,0,6,0,0,0,0,1303,0,0,0,10,4,17668,0,3
14efc82bed87c878b1a3eaca816de8cf,0,0,47,0,0,0,0,0,0,0,0,0,0,0,429,182,0,0,26,6593,37975,23,9110,23990
3c02229e495a5851e30218bcc237969c,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10665,14817,18,18596,32927
f74843db3a65c98747ffa69d3e5697fd,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,6544,55287,0,3827,6513
8ac34f760701ebf22c4c76ae98dde5d9,0,0,42,0,0,0,0,0,0,0,0,0,715,354,302,22624,22141,10691,6,38,41,15,7174,7354
0f332c6309a434b62da3fd736a9b7341,16518,16354,19026,0,0,0,0,0,0,0,18,9,0,0,0,304,0,0,4,5,0,15475,0,0
7baddf2164a87a559fafc211505280c9,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8255,16157,46,12297,28655
04683ea3283077ce376a83d66908f0cf,0,0,307,0,0,0,0,0,0,0,0,0,0,0,4,72,0,9,0,3549,23750,17,18173,16236
88c6578f0ae154a3cac192ec15ca4f53,0,0,0,0,0,0,0,0,0,0,0,0,2833,1909,2019,2020,2535,1466,17,10238,2454,36,14112,22079
73d4125e0bf43bd57502a75296698748,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,44,28891,31413
d09ec635df22ba56c704d24749a62f85,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11117,46542,16,607,656
330422656211109bc70034bbf75c32d4,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,1072,0,0,29,14225,24947,0,4639,10372
cbbd6c6b9df90359b5e8abb167b566b9,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,31,10841,23310,22,8182,10134
f9138247c10fa4392ef3501ba491d2b8,0,0,36,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,2342,28139,0,4715,8991
b6530a53838752d17f4afe0b420a4f51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8859,32780,0,853,1374
af96681bc9d0ad2aa2dcd4852d279b1d,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,987,18,19087,22554
7a21d5522d39937594867a934ddf872a,0,0,0,0,37,41,30,0,0,0,0,0,1040,1198,709,13380,8886,17796,0,0,0,0,0,0
fc8b1c86c92ceeb3d3113bf48069dc0b,0,0,0,0,0,0,0,0,0,0,0,0,13369,13227,13492,1841,0,0,0,0,0,0,0,0
0c996b0c28e73ac27d28399482d1ec3b,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,37139,10,0,0,0,0,0,1048
1c99cb53dc9f27b609a7b761efc53676,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,20,14030,23714
07663996e7e4356ff3a09dc90553d61c,8940,9108,10237,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8498,0,3
e3d6f45d55f736ae0dcb606f8a790de6,14,0,0,28,0,0,0,0,0,0,0,35164,0,0,0,0,0,0,0,0,0,0,0,0
0da26855c63fe705f7689ecd24b0bd9a,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,9438,9,6863,18369
2ff90e381a9ba962d7a74d18ea325441,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1905,7240,0,13192,12126
66935bfbb02506d63ab759d7e503ea88,0,0,0,0,0,0,0,0,0,0,0,0,9094,12286,13134,0,0,0,0,0,0,0,0,0
4d7d327fa0eab27f3b68f8b903927b91,7173,7835,11427,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,7789,0,0
bc09576bb5e43fde7b32ea7d7ad2192c,0,0,0,0,0,0,0,0,0,0,0,0,9529,9893,11081,1662,881,779,0,0,0,0,0,0
c1819373872e4f35dd2f3b75e1c815f7,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,34,15576,17241
d179b7cb1c0275dbea0908b7f125b3fa,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,717,2338,23,12880,14035
225fa1b080d75da00ede7c6414d18992,0,13,10,17,0,0,0,0,0,0,28457,0,0,0,0,5,0,0,0,0,0,0,0,0
d54ce3bf2b009f200cc9462b5952e33c,0,0,0,0,0,0,0,0,0,0,0,27161,0,0,0,0,0,0,0,0,0,0,0,0
2c1cc44c9b6f2bc268fe92214af2e970,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,10093,16240
e245fa5f37b97afdc133efc3b25a8e59,0,0,0,0,9305,8637,2525,554,783,538,0,0,0,0,0,0,0,0,0,0,0,0,2580,0
288d974ce7ee2d87eca1d39e065660e8,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10003,14530
d17eecbbf6fcb51817e138e7557d8637,0,0,15,10,0,0,0,0,0,0,17208,0,0,0,0,0,586,0,0,0,0,0,1762,4814
9ae855e118a75baf740fb1acc070bfc3,5843,5628,4953,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,7785,0,0
4bf33564d59caad7e5470d5a52417d84,8,0,6,8,0,0,0,0,0,0,24208,11,0,0,0,0,0,0,0,0,0,0,0,0
d669be2352ff1e1fee5c79ebe16c297f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10451,13768
85fa38c0263723a6c08f09c2ec7f3d51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,119,0,0,4207,19379,0,0,0
bd2217b04c47173ad2758bb4f45c7ea9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4248,18374,0,866,383
2c14740df3163417c95a0b5fc099e7f2,0,0,0,0,0,0,0,0,0,0,0,0,8319,7340,6709,0,0,544,0,0,0,0,0,0
043943b901ee4d19a7e8ffe8290f62ea,0,6,7,8,0,0,0,0,0,0,22375,15,0,0,0,4,0,0,0,0,0,0,0,0
733486239843a600b985c72df120d009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3930,17671,0,325,440
a5c7066d4c6489100f28d406e370a41c,0,0,0,0,0,0,0,0,0,0,0,0,4899,10037,7190,0,0,0,0,0,0,0,0,0
d85dc5244b464ead12be95fec1a77afc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,10216,11107
b28873f80b74fe8e4bb759e37a1a5996,0,22,0,0,0,0,0,0,0,0,21108,0,0,0,0,0,0,0,0,0,0,0,0,0
62b224172d01a46cf82c3365cc9ffe04,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330,2248,0,5951,11201
6613c764d3ce4bffa1e57a4da9d37437,0,0,0,0,108,132,26,6195,6478,7729,0,0,0,0,0,0,0,0,0,0,0,0,34,0
c60153f899cb0ce25c46cfb00746560f,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9958,10145
07a104c1aac69651df5354fd2dd6f3e6,0,0,0,0,2864,2505,3097,2908,2935,4129,0,0,0,0,0,0,0,0,0,0,0,0,1542,0
48051a18d55ccded033b28dabf482991,0,0,0,0,595,566,121,6141,5100,6820,0,0,0,0,0,0,0,0,0,0,0,0,247,0
89bc1639dbb7bee39d25f005bee11f32,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7150,12396
5f4a3f3ca0d29bb22b204b3b1259b99b,4078,5218,4834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5227,0,0
42801c5a4979af4fba0ac2093b6d2228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3210,4441,0,3599,7210
c0d85fd76a8201e2fb59ada962de5f1f,0,0,0,0,4796,4210,1534,1636,1519,2111,0,0,0,0,0,146,0,0,0,0,0,0,2471,0
4631cc8959af4ecfc74534e2beded4c7,0,0,64,0,0,0,0,0,0,0,0,0,150,232,406,680,259,0,0,2011,759,0,6256,7400
41ba023ecb96aceb9dccf9b008308143,0,0,0,0,2300,2526,420,3511,3147,4063,0,0,0,0,0,169,0,0,0,0,0,0,1317,0
f42d92fa0f334420535534d47f3d2878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2788,4436,0,2556,7453
3420b309d8c603fa4dfd5b83b25b94d5,0,0,12,0,0,0,0,0,0,0,0,0,607,294,573,0,0,0,0,10360,1127,0,1696,2547
b61134d2b3e823fae54ea1005f31073b,3811,4776,4482,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3414,0,0
2bde06c4bba229e027cd0785bbb39d06,3700,3349,3957,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,3966,0,0
3c5f00b57e76ca759ae48da414292307,3683,3954,3942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2997,0,0
dac8427566caa80ff5afe3c37b2689fb,0,0,0,0,0,0,0,0,0,0,14047,0,0,0,0,0,0,0,0,0,0,0,0,0
6e6db720e8c83955e836eabbafaa9a47,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2177,6394,0,2507,2753
ccb0a248d5af5a85c86bdd8efc3d9bc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522,3720,0,2513,5004
45848d0eed0d2ce81a2bef90b18da895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2068,2769,0,1910,6423
fec89e9b8682900b7736de485a80dc46,2929,3095,3117,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,3015,0,0
9f08cdc70c198a118472dc8fbab9f5d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5801,2167,4544,0,0,0,0,0,0
b686c073db9da85561ead328cb69b51a,2939,2796,2518,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,3740,0,0
c430f1de947ea0d8db691ab6eae78994,2627,3286,3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880,0,0
7609505ddd64cbcf63b81193aa61d1d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,0,0,7,2563,7456,0,412,1089
7e4c751b85b3dbf9a93b80caea4423b7,0,0,0,0,0,0,0,0,0,0,0,0,356,178,35,2488,3666,5217,0,0,0,0,0,0
109e1c26f1b81ec1a2bc959074170715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4205,3410,4276,0,0,0,0,0,0
