ASV_ID,ExtCtrl,G_R1,G_R2,G_R3,MockPosCtrl,Ot_R1,Ot_R2,Ot_R3,PB_R1,PB_R2,PB_R3,PCRCtrl,R_R1,R_R2,R_R3,T_R1,T_R2,T_R3,Z_R1,Z_R2,Z_R3
7a21d5522d39937594867a934ddf872a,0,135,110,14,0,54,32,5753,466498,144495,85051,0,34,17,15,36,20,12,52,29,22
b2dc2258faa3788c3ebc58e338055908,0,30,22,28,0,164986,106444,94295,72,58,54,0,32,28,18,39,33,25,36,31,0
4c5a417b42c3bb43c186aee77b5735c9,0,0,0,0,0,37,0,0,260816,17774,10959,0,20,0,0,11,0,0,43,0,0
4a06beb20a1c9f30bef70d360efbab05,0,43,24,23,0,49,43,35,67,49,42,0,31,37,31,131465,77239,69447,52,39,40
d0b454c3b697226bf4f3ffb826b91585,0,14,21,4,0,96251,113774,57299,29,58,15,0,7,26,0,13,26,8,16,38,9
1186ff9075bce89840c8ba1db4204189,14,8001,8920,0,13586,12556,10834,5,91944,7201,4747,5003,31,36,0,13517,8689,6245,26,8,0
93df572247eab1bf0149433ce99a4757,0,31,25,0,0,40,24,29,67,38,40,0,37,36,27,72023,54011,46886,61,38,35
3a2f3d31f2acb968dcae95442ec04fa8,0,0,0,0,0,43076,56121,35368,0,0,0,0,0,0,0,0,0,0,0,0,0
1962c7c1db1a0b63fa660868e047175f,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,6,0,0,51608,47655,22665
8d8c44f3c4de9d7d2d4c94a60685d678,0,17,15,0,0,0,0,0,51154,37548,23820,0,0,0,0,0,0,0,0,0,0
cbbd6c6b9df90359b5e8abb167b566b9,0,0,20,6,0,29,13,202,41,29,16,0,12,14,14,39613,37561,16033,24,20,10
5787d14e0bff036e35d538812cff0389,0,0,0,0,0,34677,18074,21888,0,0,0,0,0,0,0,0,0,0,0,0,42
6e6db720e8c83955e836eabbafaa9a47,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,29468,18816,17939,0,0,0
3ff073f0501a9fcd4fa2994dec0a9cb4,0,0,0,0,0,0,3,0,42778,14112,8303,0,0,0,0,0,0,0,0,0,0
88c6578f0ae154a3cac192ec15ca4f53,0,0,0,0,0,9004,2391,0,32170,11235,7246,0,0,0,0,265,405,77,0,0,0
770d9fdcc8e82a397ee339f8cb24efc1,0,0,0,0,0,0,10,0,0,4,0,0,1878,461,488,0,0,0,25333,23924,7788
05344fc82ab89c499be8d63d83dd8558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27791,16455,14592,0,0,0
dc31b95a4b3e122dd2bb3966919726dc,0,0,0,0,0,0,0,0,38788,12486,6484,0,0,0,0,0,0,0,0,0,0
3c02229e495a5851e30218bcc237969c,0,0,0,0,0,18,0,0,12,0,16,0,0,0,0,34271,7244,14557,17,0,0
db6aed88044d19aad44e59afd807655a,0,0,5,0,0,5957,36570,13556,0,15,0,0,0,0,0,0,0,6,0,17,0
744f9dcb5cab4a574904a79f0d389d58,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,24620,15282,13828,28,0,0
11ade143b77d3ca7629e023643cda7e9,0,0,6,0,0,18767,28826,3179,5,11,0,0,0,0,0,0,0,0,0,9,0
e9500edcd429250b9ca242c877a8d89b,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,18304,24635,7080
9b70c9b9fe7b1d44cb0028976fb7667c,0,0,0,0,0,14248,33457,0,0,19,0,0,0,0,0,0,0,0,0,10,0
845147687117677656bf1d05ffa31f91,0,6,0,0,0,22106,25272,189,10,0,0,0,5,0,0,5,0,0,11,0,0
4c85c816c0fe8767ff0acc195d5b2e09,0,0,0,0,0,0,0,0,0,4,0,0,487,300,198,0,0,0,16155,23000,7166
1348a48e708390bf958c77a420fd0996,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,16859,21371,7188
791e43ed33823ffe229512a219af42a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19505,18253,7449
d09ec635df22ba56c704d24749a62f85,0,0,8,0,0,0,0,0,25,20,11,0,10,0,0,20081,12026,11403,17,8,16
9ac4fb69512e0e528e703ac77949beff,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,6,0,14100,23591,4926
854d6d2c54f2d334e8511cd65a3c9b6f,0,0,0,0,0,26647,11839,3460,13,0,0,0,0,0,0,0,0,0,0,0,0
d33917a23de6d0ef76b564f15034f6bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13547,23384,4643
0eda832a2a9108b4bf731b4fabfb451e,0,0,0,0,0,0,0,10,20,0,0,0,0,0,0,18874,11810,10242,0,0,0
7df90d8994d310cb6e11e3706722e5c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18760,11326,6483
e3d6f45d55f736ae0dcb606f8a790de6,28,0,0,0,0,0,0,0,0,0,0,35155,0,0,0,0,0,0,0,0,0
0d6b6cc63c0076245797ca960c12e26e,0,0,0,0,0,0,19046,0,3284,1846,933,0,0,0,0,3611,4478,1352,0,8,0
da3aadb94e770b7e7ef953319ebc2146,0,0,0,0,0,0,0,0,0,0,0,0,17497,9415,7235,0,0,0,0,0,0
f9138247c10fa4392ef3501ba491d2b8,0,0,0,5,0,11,0,0,9,4,7,0,0,0,0,20350,4155,9311,0,0,0
03196f94d8b5385e4095e372531a3482,0,5,0,0,0,18391,15046,282,10,0,0,0,0,0,0,0,0,0,0,5,0
62e67634c891197b0f06a874b7c9f53a,0,0,0,0,0,4371,23588,4688,0,0,0,0,0,0,0,38,17,14,0,0,0
91e225ae7205897c93f9f500a8347fab,0,0,0,0,0,0,31998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d54dfcf9302f6ab6a21496acfcddbaa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11649,12900,6164
9e6eddd89022f9540c4c39d3460a62d5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13492,8657,7481,0,0,11
c884eb4899a82fef2d6c434d1e6e5893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11259,11845,5079
225fa1b080d75da00ede7c6414d18992,16,0,0,0,27847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d54ce3bf2b009f200cc9462b5952e33c,0,0,0,0,0,0,0,0,0,0,0,27094,0,0,0,0,0,0,0,0,0
e06a8ef58443719e2c06b3d3b79ad2af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11008,8663,6872,0,0,0
fec89e9b8682900b7736de485a80dc46,0,0,0,0,0,0,0,393,0,0,0,0,14700,3967,5989,0,0,0,0,0,0
500d812cb4246ed672fb2664ae9fce08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10435,7753,6491,0,0,0
464bb7bbd9f1a94b45c936b255923ac6,0,0,0,0,0,8175,0,2172,2,0,0,0,8266,3495,2285,0,0,0,0,0,0
ac8a63b976138e19adcff15745a92e91,0,4,12,0,0,3153,20395,514,0,0,0,0,0,0,0,0,0,0,0,5,0
e245fa5f37b97afdc133efc3b25a8e59,0,11137,12660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4bf33564d59caad7e5470d5a52417d84,8,0,0,0,23675,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
5dd49875321b5ba5c8c978ba648b93d3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10350,7941,4471
043943b901ee4d19a7e8ffe8290f62ea,8,0,0,0,21889,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
c28dc145c1340fa81357c596e794501f,0,0,0,0,0,12031,9685,0,0,0,0,0,12,0,0,0,0,0,0,0,0
3420b309d8c603fa4dfd5b83b25b94d5,0,0,0,0,0,8960,0,3427,6296,1637,1062,0,0,0,0,16,0,0,0,0,0
d65cba70ac57d725960cb262a60662b8,0,0,0,0,0,0,0,0,10510,6428,4227,0,0,0,0,0,0,0,0,0,0
b28873f80b74fe8e4bb759e37a1a5996,0,0,0,0,21101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4626bbad170fd83a026522145e833f74,0,0,0,0,0,0,0,0,12116,5929,2846,0,0,0,0,0,0,0,0,0,0
0cbdc01cb199411e4aae74463b9f91fe,0,9615,10914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3f095ff13132598a88f736d7c69e8daa,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,6455,9502,4351,0,0,0
0e318d75f7d89a35be265613182f05f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8632,7505,3455,0,0,0
b030ad7443cc1ffbff5c3a72d4290b81,0,0,0,0,0,0,0,0,0,0,0,0,8867,5895,4134,0,0,0,0,0,0
1bd4f5705903cbe5e2c9b64322442f97,0,0,0,0,0,0,18850,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d544e18b83fa5ae52f61a9262de873c2,0,8916,9653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a975f11df2d33bfbfa36275eabb642ac,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7869,5685,4498,0,0,0
d5df56a5170adcbbba8c73c22fb77718,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,8349,4907,4643,0,0,0
8ac34f760701ebf22c4c76ae98dde5d9,0,0,0,0,0,9748,6638,1004,0,0,0,0,0,0,0,7,0,0,0,0,0
6dd079ddc08f2c497608432d053cd83e,0,0,0,0,0,7988,0,9227,0,0,0,0,0,0,0,0,0,0,0,0,0
d17eecbbf6fcb51817e138e7557d8637,10,0,0,0,17092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2783e3139d623a1f98833f139b315b98,0,0,0,0,0,0,0,0,0,0,0,0,7901,5285,3600,0,0,0,0,0,0
e4fa3ac921e7e9f0fa92309854eaada9,0,0,0,0,0,5549,11206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c8257c29d71c2a299a346fa28a4b54df,0,0,0,0,0,0,0,0,0,0,0,0,7964,6796,1993,0,0,0,0,0,0
ded8a16852b4c75b74c95989bca556c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5810,8618,2304
15a0e1ae1852af6ce4faff1eb78f6a9e,0,0,0,0,0,3644,0,0,0,0,0,0,7075,3594,2337,0,0,0,0,0,0
a8c35303abfaff02cd9df06bea586e9b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7595,6717,1886
da0082c12a79846ce1f8cd4df0f7095a,0,0,0,0,0,0,16127,0,0,8,0,0,0,0,0,0,5,0,0,0,0
7537a5cd9ffab5ca2ebfe75496bffd8e,0,0,0,0,0,4212,0,0,0,0,0,0,6904,2364,2452,0,0,0,0,0,0
1f2bb4ee12e652e46cb87c1bbfcbf31e,0,0,0,0,0,15705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ae5eba8deeeb858f8b861d941f39ba8,0,7546,8029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9cacba69ca319fadeb60df1ed633beaf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5778,7448,2271
523e0d01d6e776651dda7355f837d9cb,0,0,0,0,0,0,0,0,0,0,0,0,6390,4915,3826,0,0,0,0,0,0
fe612d8191326d5fb553c5604cb27645,0,0,0,0,0,0,0,0,6047,5443,3406,0,0,0,0,0,84,7,0,0,0
db39f42d0c2c62b1eb01c4cd65d3985e,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,7311,3696,3895,0,0,0
7baddf2164a87a559fafc211505280c9,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0,5145,7485,2134,0,0,0
0a293f6b33c88b2daaf1c5683145f6fb,0,0,0,0,0,0,0,0,0,0,0,0,6964,3680,3856,0,0,0,0,0,0
1df64c14c510404a9d6291132db0cb33,0,0,0,0,0,0,0,0,0,0,0,0,8844,2849,2749,0,0,0,0,0,0
1c0d76355938c9ebd7e819bc09c14fc9,0,0,0,0,0,0,10248,0,0,8,0,0,2554,797,800,0,6,0,0,0,0
8225b57f3a36b0d57d09898b42391bb5,0,0,0,0,0,14210,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
dac8427566caa80ff5afe3c37b2689fb,0,0,0,0,14045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ff90e381a9ba962d7a74d18ea325441,0,627,648,0,0,0,0,0,10402,1223,913,0,0,0,6,0,0,0,0,0,0
bc4f7c03941098c794a2aff800997049,0,0,0,0,0,0,0,0,9026,3014,1743,0,0,0,0,0,0,0,0,0,0
d12a54717c516004f3f0284bf7e2fc63,0,0,0,0,0,0,0,0,0,0,0,0,7236,3917,2559,0,0,0,0,0,0
84e2dcbb06e7a87f0a970c2c66723e10,0,0,0,0,0,13693,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0
233fd97f83e93d3069ffb973a2838dc7,0,0,0,0,0,0,0,0,0,0,0,0,3159,2646,1839,0,0,0,2216,2612,1179
09781091197845218dd042fc6b905b78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5348,6742,1533
e3227b5c3c7f01d683fbccb3e79b5edd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5831,5982,1795
a9f42ff5525a757dae91d15abeea2f34,0,0,0,0,0,1988,0,0,0,0,0,0,6721,2352,2483,0,0,0,0,0,0
7e626bfce376990138fc37c351a5e420,0,0,0,0,0,0,0,0,1487,7086,4801,0,0,0,0,0,0,0,0,0,0
0cf6e6ee11858ca7e27da498550d3638,0,0,0,0,0,0,0,0,1367,7143,4759,0,0,0,0,0,0,0,0,0,0
9ccc31dad701521875e9c82cbb50f947,0,0,0,0,0,13096,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0
c8687cc5f5fbad9eb4b065ed469f795c,0,0,0,0,0,0,0,0,0,0,0,0,8781,1277,2797,0,0,0,0,0,0
d2f5152cedb2f72625e238e8c49b97af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5279,5713,1747
b28f0bcccb5c39daeeabd2aac6531ebf,0,6172,6538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
f5c521b804904eaff2badf7dd560632d,0,0,0,0,0,0,0,0,10654,1132,822,0,0,0,0,0,0,0,0,0,0
6968b9358cedffb48c6a8882325000a7,0,0,0,0,0,0,0,0,0,0,0,0,5134,4088,3165,0,0,0,0,0,0
d7b3de4ef76d1c571e3d27cf46742687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351,1594,2434
332a0387e06e59ea833a73ea7a8cfd2f,0,0,0,0,0,0,5239,0,0,0,0,0,3686,2185,1045,0,0,0,84,76,24
44545267c29ce37acd08969327ff422d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5285,5356,1605
01959e5789644613795330df18560a58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5220,4556,2410,0,0,0
08b0a4dbc276c2ae7f6cbd8bbdbf5b08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142,6108,1715
db858535f323e4f77a8c17a3e842dde6,0,0,0,0,0,0,0,0,0,0,0,0,7003,2318,2451,0,0,0,0,0,0
5b01ad6bdd9d09760ce64736724f242c,0,0,0,0,0,0,0,0,0,0,0,0,6507,3178,2027,0,0,0,0,0,0
1d0f3eb3f6600eb80d20d63f278216fd,0,0,0,0,0,0,0,0,0,0,0,0,6330,2632,2666,0,0,0,0,0,0
6637df54c71257af85a54ebd3aacd346,0,0,0,0,0,0,0,0,0,0,0,0,7545,1630,2402,0,0,0,0,0,0
400e008a72cd4c547a9ee9ef855cac8d,0,0,0,0,0,0,0,0,0,0,0,0,937,386,505,0,0,0,2983,5086,1593
ab2d7efc4ba84e68dd401452120f35e4,0,0,0,0,0,0,0,0,0,0,0,0,5127,3794,2547,0,0,0,0,0,0
541b0f983e873803d8e7c0007c913e91,0,0,0,0,0,0,0,0,0,0,0,0,6317,3004,2096,2,0,0,0,0,0
80555fae7cc3579fad04cc11e1d3c2bd,0,0,0,0,0,0,0,0,0,0,0,0,6318,2475,2623,0,0,0,0,0,0
f73c5e010ccc1cab9b250ef4b281d933,0,0,0,0,0,0,0,0,0,0,0,0,4196,5755,1422,0,0,0,0,0,0
a20a6c3ebe7300306fd1a7e9fb79cd9d,0,0,0,0,0,10400,0,0,678,103,0,0,0,0,0,0,0,0,0,0,0
ab7d3e68b6829eb8300cc4928b306cf3,0,742,825,0,0,0,9572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45e211be911b74b8df4df97a88fcea62,0,0,0,0,0,0,0,0,0,0,0,0,4612,4455,2069,0,0,0,0,0,0
41ba023ecb96aceb9dccf9b008308143,0,5260,5798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4dc142ec132db8fd4e846542b6241d28,0,0,0,0,0,0,0,0,0,0,0,0,6300,2766,1869,0,0,0,0,0,0
82e7d68f32f3acbd9a009a4e1a460bfb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6353,1656,2819,0,0,0
79d587d4112fe2f7531c41bf67c27ede,0,0,0,0,0,0,0,0,0,0,0,0,6080,3411,1218,0,0,0,0,0,0
4631cc8959af4ecfc74534e2beded4c7,0,112,138,0,0,0,0,0,6515,1472,1101,0,0,0,0,575,476,274,0,0,0
2023274f9a002066b351da1d6f087b71,0,0,0,0,0,4866,3020,2734,0,0,0,0,0,0,0,0,0,0,0,0,0
6055abae0486fefd79e5b6452341cce5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5458,2091,3040,0,0,0
c69b9afcd980a1bec15be5617df40bf9,0,75,100,0,0,0,10328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
be26e17e90ec9618ea3731a9c2ade6bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4109,4301,1910
f409f7306ff303047b252ac57519d74a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4625,3547,1981
6146a9488630696e9083829ae0f299aa,0,0,0,0,0,1719,6735,1640,0,11,0,0,0,0,0,0,0,0,0,0,0
91add55ade34cf70afcd71585b859fa3,0,0,0,0,0,0,0,0,0,0,0,0,4418,3255,2404,0,0,0,0,0,0
