ASV_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
8d8c44f3c4de9d7d2d4c94a60685d678,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.999744773
4ef33a674ee56fba00a4c2848b3fe30e,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,,0.927116215
1186ff9075bce89840c8ba1db4204189,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,,0.954596256
0d6b6cc63c0076245797ca960c12e26e,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.794946307
cfe67df02d2e5ce07631a825a551c162,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,,0.999999967
4f68eadd5e6374721864ada406f4c994,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,gut_metagenome,0.76287241
b24916603049b2787a7211321df591d1,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,,1
803a2b46cdc97f78f2ef8a8a5ca286dd,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Terrisporobacter,,0.994396211
01959e5789644613795330df18560a58,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus]_gnavus_group,uncultured_bacterium,0.737545379
5b03228d3b67230ae9cba154af214d75,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,0.992933485
057a233df46b8e16c567bdaeca5236ae,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia,,0.996521663
d0c40303664042b7c8a0d4fbf2345d4e,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,,0.923853025
43648ae0144fb6b552c5456de992febf,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,,0.999999077
eda9e7c469c2f6581689d79f42082ae8,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,,,0.999987114
14efc82bed87c878b1a3eaca816de8cf,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,,0.993989559
3c02229e495a5851e30218bcc237969c,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,0.999349267
f74843db3a65c98747ffa69d3e5697fd,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,gut_metagenome,0.911925888
8ac34f760701ebf22c4c76ae98dde5d9,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,,0.999536651
0f332c6309a434b62da3fd736a9b7341,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082,Bacteroidales_bacterium,0.981067539
7baddf2164a87a559fafc211505280c9,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,unidentified,0.714253257
04683ea3283077ce376a83d66908f0cf,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,uncultured_bacterium,0.817370575
