ASV_ID,Domain,Phylum,Class,Order,Family,Genus,Species
7a21d5522d39937594867a934ddf872a,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,
b2dc2258faa3788c3ebc58e338055908,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
4c5a417b42c3bb43c186aee77b5735c9,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,uncultured_Eubacterium
4a06beb20a1c9f30bef70d360efbab05,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_massiliensis
d0b454c3b697226bf4f3ffb826b91585,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Fretibacterium,Synergistales_bacterium
1186ff9075bce89840c8ba1db4204189,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,
93df572247eab1bf0149433ce99a4757,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_stercoris
3a2f3d31f2acb968dcae95442ec04fa8,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
1962c7c1db1a0b63fa660868e047175f,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082,Bacteroidales_bacterium
8d8c44f3c4de9d7d2d4c94a60685d678,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,
cbbd6c6b9df90359b5e8abb167b566b9,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_NK4A136_group,uncultured_organism
5787d14e0bff036e35d538812cff0389,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
6e6db720e8c83955e836eabbafaa9a47,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_stercoris
3ff073f0501a9fcd4fa2994dec0a9cb4,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,
88c6578f0ae154a3cac192ec15ca4f53,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paeniclostridium,
770d9fdcc8e82a397ee339f8cb24efc1,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_AC2044_group,
05344fc82ab89c499be8d63d83dd8558,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_massiliensis
dc31b95a4b3e122dd2bb3966919726dc,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,
3c02229e495a5851e30218bcc237969c,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
db6aed88044d19aad44e59afd807655a,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella_forsythia
744f9dcb5cab4a574904a79f0d389d58,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_massiliensis
11ade143b77d3ca7629e023643cda7e9,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,uncultured,Cardiobacterium_sp.
e9500edcd429250b9ca242c877a8d89b,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidales_UCG-001,Bacteroidales_UCG-001,uncultured_bacterium
9b70c9b9fe7b1d44cb0028976fb7667c,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Brachymonas,Brachymonas_sp.
845147687117677656bf1d05ffa31f91,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella_forsythia
4c85c816c0fe8767ff0acc195d5b2e09,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,uncultured_bacterium
1348a48e708390bf958c77a420fd0996,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,uncultured_bacterium
791e43ed33823ffe229512a219af42a0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,uncultured_bacterium
d09ec635df22ba56c704d24749a62f85,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_vulgatus
9ac4fb69512e0e528e703ac77949beff,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,uncultured_bacterium
854d6d2c54f2d334e8511cd65a3c9b6f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
d33917a23de6d0ef76b564f15034f6bb,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,
0eda832a2a9108b4bf731b4fabfb451e,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_finegoldii
7df90d8994d310cb6e11e3706722e5c7,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-002,uncultured_bacterium
e3d6f45d55f736ae0dcb606f8a790de6,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,
0d6b6cc63c0076245797ca960c12e26e,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,
da3aadb94e770b7e7ef953319ebc2146,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidales_BS11_gut_group,Bacteroidales_BS11_gut_group,uncultured_bacterium
f9138247c10fa4392ef3501ba491d2b8,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,
03196f94d8b5385e4095e372531a3482,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptostreptococcus,
62e67634c891197b0f06a874b7c9f53a,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Schaalia_canis
91e225ae7205897c93f9f500a8347fab,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Fretibacterium,Synergistales_bacterium
5d54dfcf9302f6ab6a21496acfcddbaa,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082,uncultured_bacterium
9e6eddd89022f9540c4c39d3460a62d5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_finegoldii
c884eb4899a82fef2d6c434d1e6e5893,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082,
225fa1b080d75da00ede7c6414d18992,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
d54ce3bf2b009f200cc9462b5952e33c,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,
e06a8ef58443719e2c06b3d3b79ad2af,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_stercoris
fec89e9b8682900b7736de485a80dc46,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082,uncultured_bacterium
500d812cb4246ed672fb2664ae9fce08,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_stercoris
464bb7bbd9f1a94b45c936b255923ac6,Bacteria,Verrucomicrobiota,Verrucomicrobiae,LD1-PB3,LD1-PB3,LD1-PB3,uncultured_rumen
ac8a63b976138e19adcff15745a92e91,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,uncultured,Globicatella_sp.
e245fa5f37b97afdc133efc3b25a8e59,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae_UCG-003,uncultured_Bacteroidales
4bf33564d59caad7e5470d5a52417d84,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,
5dd49875321b5ba5c8c978ba648b93d3,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-002,uncultured_bacterium
043943b901ee4d19a7e8ffe8290f62ea,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_fermentum
c28dc145c1340fa81357c596e794501f,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Brachymonas,Brachymonas_sp.
3420b309d8c603fa4dfd5b83b25b94d5,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,Romboutsia_hominis
d65cba70ac57d725960cb262a60662b8,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,Clostridium_paraputrificum
b28873f80b74fe8e4bb759e37a1a5996,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,
4626bbad170fd83a026522145e833f74,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Sarcina,uncultured_bacterium
0cbdc01cb199411e4aae74463b9f91fe,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,
