ID,WS023_S167,WS026_S140,WS027_S171,WS028_S161,WS029_S141,WS031_S151,WS032_S170,WS034_S142,WS035_S152,WS036_S172,Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
6c5235d2fd0b71d480597adffb468b51,0,36223,0,0,0,69908,0,0,0,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA,NA,0.9941239521876528
58a1783db61f7787336c01c4d7c89e3c,10429,274,22493,266,11159,2357,14759,22,1759,350,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,NA,NA,0.9568594475923964
5f8e474c4a04724db47674899970fb38,4668,2551,2792,21200,19360,5429,0,33,275,130,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter,NA,0.9997272491422576
ac5ca6ce01ee88637a9df8b1a702946e,25,0,33064,0,183,0,565,0,44,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,NA,NA,0.9858942189290816
631aee757fa5361a763a4b84c0bbe7ee,3585,87,429,9869,4043,2217,12,95,2422,322,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Aurantimicrobium;s__Aurantimicrobium sp003325955,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Aurantimicrobium,Aurantimicrobium sp003325955,0.991389501058153
e29c14d07c0c80feb344744027f381fa,218,57,857,5965,1887,328,8621,124,980,439,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,NA,NA,0.989515817314927
26a145d24912830ad8f136ef8e3b0bf7,0,16252,0,0,15,107,0,0,49,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA,NA,0.9985683331074404
0f1a325c80378b5bc7d71a275d712776,1523,14,30,615,392,20,23,1235,8173,3036,d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-18226;g__Neobacillus;s__Neobacillus drentensis,Bacteria,Bacillota,Bacilli,Bacillales_B,DSM-18226,Neobacillus,Neobacillus drentensis,0.8200474471775407
944467b710011b1f22e06f73a922d694,3356,752,5041,973,850,401,0,76,3094,424,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,NA,NA,0.999942292463293
c955e7f3f21ee70343adc4587f66ccb7,98,0,46,602,397,11580,0,0,108,0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiodictyon;s__Thiodictyon syntrophicum,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiodictyon,Thiodictyon syntrophicum,0.9168513053809928
